"stop_id","scale","used","forcat_prop","forest_prop","savanna_prop","wetland_prop","grassland_prop","ag_prop","pasture_prop","farming_prop","RLO_prop"
335,20,1,0.376404414893998,0.376404414893998,0,0.00288508339264854,0,0,0.415431509349426,0.596998707085878,0.018983120131139
336,20,1,0.174048360508548,0.174048360508548,0,0.133038154535443,0.613408506648583,0,0.0764782251915036,0.0764782251915036,0.00302675311592315
337,20,1,0.0744766329498383,0.0744766329498383,0,0.121804931014725,0.713752484776399,0,0.0643062620534487,0.0643062620534487,0.0256596892055891
338,20,1,0.804377363904976,0.804377363904976,0,0.101796903204394,0,0.0275266436868219,0,0.0379125452497946,0.055238122617963
339,20,1,0.148278245715737,0.148278245715737,0,0.0164731071474268,0.75378650812612,0,0.0230558877646817,0.0230558877646817,0.058406251246035
340,20,1,0.880755995949707,0.880731035470396,2.49604793110082e-05,0.00605832084090476,0.00981019830593213,0,0.00256687136841981,0.00256687136841981,0.100123270088811
341,20,1,0.109297475638815,0.109297475638815,0,0.114394113675026,0.714581930185779,0,0.0527637870533783,0.0527637870533783,0.00896269344700137
342,20,1,0.0645123278702317,0.0645123278702317,0,0.30887015572171,0.522784007268359,0,0.0996586583141271,0.0996586583141271,0.00417485082557181
343,20,1,0.0643740206844307,0.0643740206844307,0,0.331754969993252,0.456030305796914,0,0.146303294566697,0.146303294566697,0.00153740895870617
344,20,1,0.891570381713457,0.891558379019803,1.20026936536467e-05,0.00114277272490063,0.00245252825292878,0,0.0935192187961418,0.0935192187961418,0.0113150985125719
345,20,1,0.937585297036776,0.937585297036776,0,0.000160647573771823,0,0.00178476304508068,0,0.00778525162090182,0.0504004344123191
346,20,1,0.616745922808976,0.614838979850607,0.00190694295836878,0.00261809603921816,0.0134926684205441,0.00133895808027739,0.327973585663876,0.329587652839996,0.0352844267419561
347,20,1,0.697643060998202,0.69652159315214,0.00112146784606287,1.75598624525369e-05,0.000410319584373288,0.0104080816728677,0.291424749835864,0.301832831508732,9.62280462399024e-05
348,20,1,0.275488939081963,0.275488939081963,0,0,0,0.183317793818318,0,0.680966797186261,0.0111923064494899
349,20,1,0.409051535997752,0.409051535997752,0,0.224677185874377,0,0,0.00543355762505335,0.262458872584595,0.0989714551989109
350,20,1,0.201324399462018,0.201324399462018,0,0.000190447621222168,0.0496981167446336,0.690180873658918,0.00494011565428134,0.738904521318944,0.00885974208357542
351,20,1,0.262678868996237,0.262678868996237,0,0.00665094643522773,0.000798011993227437,0.409948354048092,0.183035448243092,0.670455074693904,0.000495590161612429
